Channel              :,CH1
Frequency            :,857.1Hz
Period               :,1.167ms
PK-PK                :,72.27mV
Probe attenuation    :,1X
Voltage per ADC value:,0.122070mV
Time interval        :,2.00000us

index,CH1_Voltage(mV)
1,17.578125
2,17.578125
3,17.578125
4,17.578125
5,17.578125
6,15.625000
7,17.578125
8,15.625000
9,15.625000
10,15.625000
11,15.625000
12,15.625000
13,15.625000
14,13.671875
15,13.671875
16,13.671875
17,13.671875
18,13.671875
19,13.671875
20,13.671875
21,11.718750
22,13.671875
23,11.718750
24,11.718750
25,11.718750
26,11.718750
27,9.765625
28,11.718750
29,9.765625
30,9.765625
31,9.765625
32,9.765625
33,7.812500
34,9.765625
35,7.812500
36,7.812500
37,7.812500
38,5.859375
39,5.859375
40,5.859375
41,5.859375
42,5.859375
43,5.859375
44,3.906250
45,5.859375
46,3.906250
47,1.953125
48,3.906250
49,3.906250
50,1.953125
51,1.953125
52,1.953125
53,1.953125
54,0.000000
55,0.000000
56,0.000000
57,0.000000
58,-1.953125
59,-1.953125
60,-1.953125
61,-1.953125
62,-3.906250
63,-3.906250
64,-3.906250
65,-3.906250
66,-3.906250
67,-5.859375
68,-5.859375
69,-5.859375
70,-7.812500
71,-5.859375
72,-5.859375
73,-7.812500
74,-7.812500
75,-7.812500
76,-7.812500
77,-9.765625
78,-9.765625
79,-9.765625
80,-9.765625
81,-9.765625
82,-11.718750
83,-11.718750
84,-11.718750
85,-11.718750
86,-13.671875
87,-13.671875
88,-13.671875
89,-13.671875
90,-15.625000
91,-13.671875
92,-15.625000
93,-15.625000
94,-15.625000
95,-15.625000
96,-17.578125
97,-17.578125
98,-17.578125
99,-17.578125
100,-17.578125
101,-17.578125
102,-19.531250
103,-19.531250
104,-19.531250
105,-19.531250
106,-19.531250
107,-21.484375
108,-21.484375
109,-21.484375
110,-21.484375
111,-23.437500
112,-23.437500
113,-23.437500
114,-25.390625
115,-25.390625
116,-23.437500
117,-25.390625
118,-25.390625
119,-27.343750
